"ori","des","N","dY","dX","oY","oX","Geom","no_flow"
"AG","AG",1,27.953982,2.679627,27.953982,2.679627,"LINESTRING (2.679627 27.953982, 2.679627 27.953982)",TRUE
"AR","AR",327,-34.506982,-64.345898,-34.506982,-64.345898,"LINESTRING (-64.345898 -34.506982, -64.345898 -34.506982)",TRUE
"AR","BL",9,-16.659461,-64.609576,-34.506982,-64.345898,"LINESTRING (-64.345898 -34.506982, -64.609576 -16.659461)",FALSE
"AR","BR",5,-10.444019,-52.852381,-34.506982,-64.345898,"LINESTRING (-64.345898 -34.506982, -52.852381 -10.444019)",FALSE
"AR","CI",5,-34.916246,-71.255077,-34.506982,-64.345898,"LINESTRING (-64.345898 -34.506982, -71.255077 -34.916246)",FALSE
"AR","CO",1,3.88601,-73.008599,-34.506982,-64.345898,"LINESTRING (-64.345898 -34.506982, -73.008599 3.88601)",FALSE
"AR","PA",12,-23.204148,-58.4005,-34.506982,-64.345898,"LINESTRING (-64.345898 -34.506982, -58.4005 -23.204148)",FALSE
"AR","PE",9,-9.105875,-74.248066,-34.506982,-64.345898,"LINESTRING (-64.345898 -34.506982, -74.248066 -9.105875)",FALSE
"AR","US",2,42.612364,-103.195474,-34.506982,-64.345898,"LINESTRING (-64.345898 -34.506982, -103.195474 42.612364)",FALSE
"AR","UY",4,-32.775836,-56.014293,-34.506982,-64.345898,"LINESTRING (-64.345898 -34.506982, -56.014293 -32.775836)",FALSE
"AS","AS",638,-25.34506,133.758667,-25.34506,133.758667,"LINESTRING (133.758667 -25.34506, 133.758667 -25.34506)",TRUE
"AS","NC",4,-21.303731,165.689834,-25.34506,133.758667,"LINESTRING (133.758667 -25.34506, 165.689834 -21.303731)",FALSE
"AS","TZ",1,-6.249894,34.793068,-25.34506,133.758667,"LINESTRING (133.758667 -25.34506, 34.793068 -6.249894)",FALSE
"AU","AE",9,23.909579,54.318006,47.580106,14.128954,"LINESTRING (14.128954 47.580106, 54.318006 23.909579)",FALSE
"AU","AF",11,33.766276,65.927368,47.580106,14.128954,"LINESTRING (14.128954 47.580106, 65.927368 33.766276)",FALSE
"AU","AG",2,27.953982,2.679627,47.580106,14.128954,"LINESTRING (14.128954 47.580106, 2.679627 27.953982)",FALSE
"AU","AJ",1,40.27771,47.52727,47.580106,14.128954,"LINESTRING (14.128954 47.580106, 47.52727 40.27771)",FALSE
"AU","AO",1,-12.251988,17.526887,47.580106,14.128954,"LINESTRING (14.128954 47.580106, 17.526887 -12.251988)",FALSE
