"full.name.of.describer.n","last.name","alive","residence.country.describer.first","describer.gender.n","n_pubs","spp_N","min","max_corrected"
"A. Grech","Grech","U",,"U",1,1,1998,1998
"A. Hensel","Hensel","N",,"U",1,1,1870,1870
"Abdulaziz S. Alqarni","Alqarni","Y","Saudi Arabia","M",2,2,2012,2018
"Achik Dorchin","Dorchin","Y","Israel","M",2,9,2018,2018
"Achille Costa","Costa [A.]","N","Italy","M",8,29,1858,1888
"Adam White","White [A.]","N","United Kingdom","M",1,1,1851,1851
"Adolf [Adolpho] Ducke","Ducke","N","Italy","M",27,123,1897,1925
"Adolfo Doering","Doering","N","Argentina","M",1,1,1875,1875
"Ahmad Nadimi","Nadimi","Y","Iran","M",1,1,2014,2018
"Ahmatjan Dawut","Dawut","U","Japan","M",1,1,2005,2005
"Alain Pauly","Pauly","Y","Belgium","M",59,320,1980,2018
"Albert A. Grigarick","Grigarick","Y","United States of America","M",1,2,1964,2018
"Alberto H. Abrahamovich","Abrahamovich","Y","Argentina","M",4,6,2002,2018
"Alejandro Aleksandrovich Ogloblin","Ogloblin","N","Argentina","M",4,8,1948,1957
"Alejandro Parra-H","Parra","Y","Colombia","M",1,1,2006,2018
"Aleksandr Stepanovich Skorikov","Skorikov","N","Russian Federation","M",23,108,1908,1938
"Aleksey Pavlovich Fedtschenko","Fedtschenko","N","Russian Federation","M",1,38,1875,1875
"Alexander Georgewitsch Lebedev","Lebedev","N","Ukraine","M",7,16,1911,1933
"Alexander Henry [or Enrico Alessandro or Alexis Heinrich] Haliday","Haliday","N","Ireland","M",1,8,1836,1836
"Alexander Lall","Lall","U","India","M",1,1,2004,2004
"Alexander [Sándor] Mocsáry","Mocsáry","N","Hungary","M",25,120,1877,1908
"Alexsander A. Azevedo","Azevedo","U","Brazil","M",1,2,2005,2005
"Alfred [Alec] A. Sitdikov","Sitdikov","U","Russian Federation","M",4,5,1986,1988
"Ali Asghar Talebi","Talebi","Y","Iran","M",1,1,2014,2018
"Ali Shallan Moalif","Moalif","U","United States of America","M",1,4,1988,1988
"Alice Barringer Mackie","Mackie","N","New Zealand","F",1,5,1933,1933
"Alina Nilovna Kupianskaya","Kupianskaya","U","Russian Federation","U",1,1,2000,2000
"Allan Henry Smith-Pardo","Smith-Pardo","Y","United States of America","M",13,29,2004,2018
"Alpheus Spring Packard, Jr.","Packard","N","United States of America","M",2,11,1867,1869
"Alvaro Wille","Wille","N","Costa Rica","M",2,2,1965,1969
"Alvin Fleetwood Shinn","Shinn","N","United States of America","M",4,29,1965,2003
"Amédée Louis Michel le Peletier, comte de Saint-Fargeau","Lepeletier","N","France","M",8,353,1825,1845
"Ana Rita Gonçalves","Gonçalves [A. R.]","Y","Portugal","F",1,1,2018,2018
"Anders Christian Jensen-Haarup","Jensen-Haarup","N","Denmark","M",2,4,1908,1909
"Anders Gustaf Dahlbom","Dahlbom","N","Sweden","M",1,5,1832,1832
"Anders Jahan Retzius","Retzius","N","Sweden","M",1,1,1783,1783
"Andreas Bertsch","Bertsch","U","Germany","M",1,1,2014,2014
"Andreas Dubitzky","Dubitzky","Y","Germany","M",6,15,2004,2018
"Andreas Müller","Müller [A.]","Y","Switzerland","M",14,35,2002,2018
"Andreas Werner Ebmer","Ebmer","Y","Austria","M",63,281,1969,2018
"Andrej Gogala","Gogala","Y","Slovenia","M",1,1,1991,2018
"Andrew R. Moldenke","Moldenke","Y","United States of America","M",1,38,1979,2018
"Andrzej Ruszkowski","Ruszkowski","U","United Kingdom","M",2,2,1988,1994
"André Nemésio","Nemésio","Y","Brazil","M",17,28,2005,2018
"Anna Zakharovna Osytshnjuk","Osytshnjuk","N","Ukraine","F",24,88,1975,2005
"Anne E. Dollin","Dollin [A. E.]","U","Austria","F",1,1,2015,2015
"Anselm Kratochwil","Kratochwil","Y","Germany","M",2,3,2013,2018
"Anthony W. Raw","Raw","Y","Brazil","M",3,8,1984,2018
"Anton Handlirsch","Handlirsch","N","Austria","M",3,15,1888,1889
"Anton von Schulthess-Rechberg","Schulthess","N","Switzerland","M",2,5,1886,1924
"Antonio Giordani Soika","Giordani Soika","N","Italy","M",1,2,1944,1944
"Antonio José Camillo Aguiar","Aguiar","Y","Brazil","M",7,52,2007,2018
"Ardeshir Ariana","Ariana","Y","Japan","M",1,2,2010,2018
"Arkady S. Lelej","Lelej","Y","Russian Federation","M",5,6,2000,2018
"Armando Luigi Picaglia Benzi","Benzi","N","Italy","M",1,1,1892,1892
"Arnaldo de Winkelried Bertoni","Bertoni","N","Paraguay","M",2,23,1910,1918
"Arnold Förster","Förster","N","Germany","M",4,97,1853,1871
"Arthur Wilson Stelfox","Stelfox","N","United Kingdom","M",1,1,1933,1933
"Arturo Roig-Alsina","Roig-Alsina","Y","Argentina","M",34,107,1987,2018
"Astrid Løken","Løken","N","Norway","F",1,2,1973,1973
"Asya Anatol'evna Ponomareva","Ponomareva","N","Russian Federation","F",3,4,1961,1967
"Ataur Rahman","Rahman","U","India","M",2,4,1994,1997
"August Pollmann","Pollmann","N","Germany","M",1,5,1879,1879
"August Schletterer","Schletterer","N","Germany","M",4,34,1889,1891
"Austin Winfield Morrill","Morrill","N","United States of America","M",1,3,1903,1903
"Avdhesh Kumar","Kumar [A.]","U","India","U",1,1,2004,2004
"B. Lucas de Oliveira","Lucas de Oliveira","U","Brazil","U",1,1,1962,1962
"B. Y. Kuang","Kuang","U","China","U",1,2,1986,1986
"Barrett Anthony Klein","Klein","Y","United States of America","M",1,2,1997,2018
"Barry James Donovan","Donovan","Y","United States of America","M",5,36,1977,2018
"Beatriz Woiski Teixeira Coelho","Coelho","Y","Brazil","F",3,13,2004,2018
"Benjamin Bembé","Bembé","Y","Germany","M",4,4,2007,2018
"Betânia Truylio","Truylio","U","Brazil","F",1,1,2003,2003
"Beulah Hix Blair","Blair","N","United States of America","F",2,4,1930,1935
