cluster,y,x,type,foreign.workers
36 Woodlands Industrial Park E1,1.454759,103.797337,work,
85 Kallang Dormitory at 85 Kallang Avenue,1.310851,103.866650,dormitory,y
A work site in Seletar Aerospace Heights,1.406096,103.865732,construction,y
Acacia Lodge at 530-540 Bukit Batok Street 23,1.340362,103.755976,residential,y
Black Tap at 10 Bayfront Avenue,1.282385,103.857675,food,
Boulder+ Gym at 12 Kallang Avenue,1.309915,103.863939,recreation,
Cassia @ Penjuru at 15 Penjuru Walk,1.318139,103.731947,dormitory,y
Ce La Vi at Marina Bay Sands,1.285221,103.861012,food,
Church of Singapore (Bukit Timah) at 2B Hindhede Road,1.344714,103.775447,religious,
Cochrane Lodge I at 51 Admiralty Road West,1.459903,103.820132,dormitory,y
Cochrane Lodge II at 49 Admiralty Road West,1.461565,103.818029,dormitory,y
Construction site at 6 Battery Road,1.285636,103.851973,construction,y
Dormitory at 31 Sungei Kadut Avenue and 21B Senoko Loop,1.407897,103.753559,dormitory,y
Dover Court International School at 301 Dover Road,1.305830,103.779257,school,
Grace Assembly of God sub-cluster,1.296962,103.815342,religious,
Grand Hyatt business meeting,1.306761,103.833355,events,
Hero's bar at 69 Circular Road,1.286697,103.849226,food,
ICA Building at 10 Kallang Road,1.306710,103.862654,work,
Kenyon/ UBS construction site at 9 Penang Road,1.297998,103.845243,construction,y
Keppel Shipyard at 51 Pioneer Sector 1,1.300247,103.655130,work,
Kranji Lodge at 12 Kranji Road,1.431735,103.759929,dormitory,y
Lee Ah Mooi Old Age Home at 1 Thomson Lane,1.330618,103.840076,nursing home,
Little Gems Preschool at 3 Ang Mo Kio Street 62,1.386420,103.844974,school,
"Macdonald's outlets at Forum, Lido and Parklane Malls",1.306371,103.828768,food,
Masjid Al-Muttaqin at 5140 Ang Mo Kio Avenue 6,1.370469,103.846131,religious,
Maxwell MRT station at 50 Neil Road,1.280323,103.843915,construction,y
Mustafa Centre at 145 Syed Alwi Road,1.310118,103.855590,shopping,y
North Coast Lodge at 51 North Coast Avenue,1.456350,103.787423,dormitory,y
Orange Ballroom at 845 Geylang Road,1.316994,103.894266,events,
"PCF Sparkletots pre-school in Fengshan at Block 126, Bedok North Street 2",1.328260,103.938663,school,
Project Glory at 50 Market Street,1.284328,103.850120,construction,y
Renovation sites at National University Hospital @ 5 Lower Kent Ridge Road,1.293790,103.783156,construction,y
S11 Dormitory @ Punggol at 2 Seletar North Link,1.416715,103.895444,dormitory,y
Safra Jurong private dinner function,1.335204,103.706141,events,
Shaw Lodge at 12 Shaw Road,1.337304,103.884184,dormitory,y
Singapore Cricket Club at A Connaught Drive,1.289079,103.852020,recreation,
SingPost Centre at 10 Eunos Road 8,1.319264,103.895167,work,
Sungei Kadut dormitory at 55 Sungei Kadut Loop,1.409787,103.743804,dormitory,y
Sungei Tengah Lodge at 500 Old Choa Chu Kang Road,1.378562,103.718601,dormitory,y
Tampines Dormitory at 2 Tampines Place,1.367377,103.929524,dormitory,y
The Life Church and Missions sub-cluster,1.328096,103.890873,religious,
The Wedding Brocade at 1 Yishun Industrial Street 1,1.437076,103.842227,shopping,
Toh Guan Dormitory at 19A Toh Guan Road East,1.338316,103.753169,dormitory,y
Tuas View Dormitory at 70 Tuas South Avenue 1,1.314109,103.625736,dormitory,y
Westlite Toh Guan Dormitory at 18 Toh Guan Road East,1.336161,103.751511,dormitory,y
Westlite Woodlands dormitory at 2 Woodlands Sector 2,1.461894,103.809466,dormitory,y
Wilby Residences at 25 Wilby Road,1.332188,103.788394,residential,
"Wizlearn Technologies, an e-learning solutions company in Science Park Road",1.288501,103.779772,work,
Yong Thai Hang health products store in Cavan Road,1.311194,103.861721,shopping,
Tech Park Crescent dormitory at 43 Tech Park Crescent,1.309440,103.629692,dormitory,y
ABC Hostel at 3 Jalan Kubor,1.303817,103.859350,recreation,
CitiWall at 34 Kaki Bukit Crescent,1.336138,103.907458,work,
Kranji Dormitory at 17 Kranji Way,1.431971,103.759714,dormitory,y
PPT Lodge 1A at 8 Seletar North Link,1.419280,103.896423,dormitory,y
13 Senoko Way,1.466629,103.812486,work,
Kian Teck Dormitory at 26 Kian Teck Ave,1.328945,103.694748,dormitory,y
Mandai Lodge at 460 Mandai Rd,1.411321,103.768728,dormitory,y
234 Balestier Road,1.321874,103.853254,dormitory,y
10 Kian Teck Crescent dormitory,1.333428,103.691809,dormitory,y
Mandai Westlite at 34 Mandai Estate,1.407376,103.758152,dormitory,y
Groundwork Building at 7 Sungei Kadut Street 3,1.416640,103.748089,work,
15 Sungei Kadut Street 4,1.418857,103.744924,work,
SJ Dormitory at 180 Woodlands Industrial Park E5,1.452282,103.792855,dormitory,y
The Leo at 23 Kaki Bukit Rd 3,1.337630,103.903844,dormitory,y
